user_id,group
13312,treatment
2304,control
9931,control
2776,treatment
5439,control
7325,control
7816,treatment
1436,treatment
10304,control
11123,treatment
8371,control
12863,treatment
5745,treatment
10568,control
11291,control
5646,treatment
10673,control
7781,control
9635,treatment
9342,treatment
1356,control
2381,control
1009,treatment
12006,control
1815,treatment
1672,control
5024,control
8349,control
2913,treatment
6841,treatment
10644,control
9117,treatment
10128,treatment
9060,control
7274,control
3230,treatment
6904,control
7098,treatment
5166,control
5641,control
2362,treatment
7431,treatment
4452,treatment
3179,treatment
12494,treatment
2911,control
8336,treatment
14682,control
11301,control
14685,treatment
11016,treatment
2555,control
4543,control
14478,control
14711,control
10563,treatment
596,treatment
8686,treatment
12920,treatment
1947,treatment
4253,control
12067,treatment
5530,treatment
8312,treatment
2008,treatment
10009,control
6188,control
11538,treatment
10520,treatment
11816,treatment
14701,control
13544,control
14330,treatment
14417,treatment
5513,control
12306,control
3721,treatment
13123,control
560,treatment
6335,control
4577,treatment
11289,control
7391,treatment
12973,treatment
10189,treatment
2503,treatment
8265,treatment
2687,treatment
6876,control
5816,control
4855,treatment
8586,control
7497,treatment
1817,treatment
1818,treatment
742,control
11309,control
10613,treatment
11721,control
11738,treatment
14097,treatment
3688,treatment
3828,control
13665,control
14477,control
9463,treatment
9589,treatment
5334,control
1850,treatment
14295,treatment
8149,treatment
786,treatment
552,treatment
388,control
3856,control
2868,treatment
14121,treatment
5123,treatment
8927,control
10592,control
8939,control
12626,treatment
11303,treatment
2709,treatment
8132,treatment
572,treatment
13674,control
11462,treatment
10508,treatment
5280,control
2215,control
5031,control
14763,control
13825,control
13260,control
991,treatment
8839,treatment
2531,treatment
13886,control
10069,control
5242,treatment
4418,control
300,control
2277,treatment
2993,control
3840,treatment
6838,treatment
7172,control
4119,control
3925,treatment
3375,treatment
10395,treatment
6694,control
8046,treatment
5285,control
9035,control
131,treatment
9993,control
3592,treatment
14337,treatment
13741,treatment
10584,treatment
1884,control
13961,treatment
4852,control
4499,control
10085,control
5911,control
1420,control
3511,treatment
806,control
4102,control
9794,treatment
9732,control
14570,control
10944,treatment
11387,control
1988,treatment
2418,control
7278,treatment
3966,treatment
4324,control
5908,treatment
13243,control
9524,treatment
10092,treatment
8795,control
13975,treatment
11677,treatment
8582,control
8039,treatment
10694,treatment
2825,treatment
1283,control
13775,control
2176,treatment
12986,control
4,control
7810,control
3426,control
7587,control
2840,treatment
4804,control
10205,treatment
652,control
14946,treatment
13182,treatment
13698,treatment
14225,treatment
38,control
2557,treatment
12136,treatment
700,treatment
11245,treatment
8526,control
6510,treatment
8773,control
4591,control
9949,treatment
4264,treatment
8752,treatment
7806,treatment
2435,treatment
11740,control
6622,control
5400,control
8883,control
2738,treatment
1702,control
6427,treatment
8736,control
5676,treatment
9835,control
10280,control
12802,control
8649,treatment
10118,control
7111,control
8680,control
8930,control
3753,control
14277,treatment
3157,treatment
12800,control
11636,treatment
8215,treatment
11575,treatment
12664,treatment
8385,control
2407,control
11352,treatment
12185,control
5800,control
13577,control
6706,control
2830,control
6599,treatment
113,treatment
11078,treatment
86,control
2518,control
818,control
7616,control
8719,treatment
2213,treatment
6303,control
5845,control
7859,treatment
12269,control
14838,control
4095,control
4745,treatment
164,treatment
8048,control
1593,control
11201,control
11397,control
12891,treatment
1391,treatment
5103,treatment
2672,treatment
14537,control
9603,control
7101,control
12219,treatment
13474,treatment
5138,treatment
13432,treatment
9850,control
10093,control
14389,control
8759,treatment
2445,control
11019,control
11757,control
6783,treatment
3234,control
13791,control
10894,treatment
2558,treatment
290,treatment
5063,control
3543,control
12636,control
9935,treatment
273,treatment
6593,control
7959,control
852,treatment
5260,control
5867,treatment
241,treatment
14028,treatment
950,control
1366,treatment
5204,treatment
4961,control
12146,treatment
8534,treatment
14589,treatment
8629,control
14166,treatment
3705,control
6390,control
10088,treatment
4290,treatment
12141,control
5872,control
12127,control
50,treatment
7589,control
13291,treatment
4471,treatment
6238,control
12922,treatment
14359,treatment
14233,control
10851,treatment
8411,control
6425,control
3836,treatment
4050,control
4641,control
13166,control
12053,treatment
11917,treatment
3882,control
1975,treatment
14532,treatment
14148,control
7058,treatment
10921,control
11205,treatment
11373,treatment
3691,treatment
6619,control
10200,control
8879,control
71,control
12638,treatment
12183,treatment
7680,treatment
5114,treatment
9640,treatment
2806,control
13416,treatment
885,control
9123,treatment
3835,control
13029,control
8933,treatment
1218,control
7033,treatment
3142,treatment
6338,treatment
11164,treatment
4216,control
3659,control
9224,treatment
980,control
9038,control
14483,control
9232,control
7043,control
11645,control
14030,control
14475,treatment
4150,control
9755,control
9668,treatment
10397,treatment
6423,control
11041,treatment
5788,control
5289,treatment
7727,control
5828,treatment
4298,treatment
4675,treatment
3968,treatment
5833,treatment
11101,control
615,treatment
8519,treatment
263,treatment
1915,treatment
2934,treatment
10636,treatment
492,control
1539,treatment
4397,treatment
3851,treatment
1492,control
3668,treatment
11805,control
6618,treatment
10003,treatment
5282,treatment
13692,treatment
9974,treatment
11145,control
5395,treatment
12094,treatment
10991,control
7178,treatment
11512,treatment
2363,control
13863,control
10314,control
919,treatment
2301,treatment
147,treatment
10425,control
6267,control
6339,control
14695,treatment
6481,control
2480,treatment
11568,control
9185,treatment
2001,treatment
7121,control
12697,control
11263,control
12474,treatment
3133,control
5885,treatment
1518,treatment
4865,treatment
7997,treatment
9190,control
9734,control
3768,treatment
8093,treatment
13959,control
4869,treatment
5827,control
4005,control
14479,treatment
1441,treatment
12667,treatment
9360,treatment
7272,control
9553,control
13318,control
770,treatment
4043,treatment
843,control
14678,control
6583,treatment
7685,treatment
11586,control
6563,control
14620,treatment
9790,treatment
11312,treatment
13528,control
11539,treatment
12999,control
2992,control
1679,treatment
9137,treatment
3662,treatment
11099,treatment
7844,treatment
6201,treatment
11067,control
4693,control
11432,control
8395,control
8324,control
4657,treatment
7306,control
4081,treatment
14677,treatment
4688,treatment
5551,control
11418,treatment
2342,treatment
14588,control
12958,control
2303,treatment
11657,control
424,treatment
4557,control
13345,control
2014,treatment
6240,treatment
6637,treatment
12475,treatment
14794,treatment
10326,control
3428,treatment
11853,control
3862,treatment
2748,treatment
1079,control
3823,control
6337,treatment
8697,treatment
12989,treatment
9188,control
14437,control
11754,control
3436,treatment
14864,control
6275,treatment
7904,control
7427,treatment
1553,treatment
6573,control
2985,control
9442,control
8078,control
9279,treatment
7412,treatment
10059,treatment
8252,control
13463,treatment
14096,treatment
4794,control
10581,control
3040,treatment
528,treatment
6147,treatment
12553,control
11741,control
829,control
9411,control
210,control
367,treatment
11629,control
5528,control
9924,control
8432,control
10879,treatment
13352,control
4806,treatment
14674,treatment
14194,control
6392,treatment
6458,treatment
10607,control
14033,control
7235,control
6276,control
10372,control
6780,control
9762,control
2232,control
5606,control
8049,control
9979,control
10933,control
9724,control
3488,control
7292,treatment
10839,control
13080,control
2710,control
11447,control
6173,treatment
8627,control
12028,treatment
10182,treatment
14631,control
7544,treatment
3908,treatment
4691,treatment
1,control
11613,control
11673,control
12758,treatment
8548,treatment
10914,treatment
3963,treatment
12151,control
13999,treatment
11277,treatment
14908,treatment
8362,control
14868,control
11288,control
7648,treatment
10907,treatment
4329,control
14741,control
3340,treatment
7821,control
10429,control
4517,treatment
9383,treatment
10184,treatment
12018,control
14628,treatment
3622,control
6354,treatment
13720,control
1207,control
7526,control
42,control
5143,treatment
6860,treatment
5110,treatment
2711,treatment
13893,treatment
11278,control
5974,treatment
79,treatment
13715,treatment
7549,treatment
8487,control
5313,control
14349,control
12687,treatment
10139,treatment
10859,control
2321,control
6195,control
5645,treatment
6756,treatment
1117,treatment
7116,treatment
13823,treatment
3972,control
4898,treatment
3666,treatment
9769,treatment
11226,control
7534,treatment
13453,control
37,control
963,treatment
4093,control
6848,treatment
4716,treatment
6124,treatment
13813,treatment
14691,control
3959,control
7237,treatment
9528,treatment
782,treatment
11553,control
10635,treatment
14492,control
9483,treatment
1427,control
7423,treatment
823,treatment
14510,control
10562,control
3227,treatment
10223,treatment
2329,control
7471,treatment
7811,control
13701,control
11906,treatment
6562,control
10028,treatment
14466,control
8965,treatment
8471,control
3245,control
8536,treatment
11150,treatment
8281,control
3032,control
2207,control
13423,control
9114,control
695,control
6747,treatment
8077,control
4241,control
2387,control
3565,treatment
7300,treatment
13049,control
3198,treatment
8435,treatment
968,control
13816,control
9329,treatment
11795,treatment
6749,treatment
8619,control
13742,treatment
14314,control
14832,treatment
12723,control
11220,control
7967,treatment
9165,control
8466,treatment
616,treatment
12054,control
1497,control
3028,control
423,treatment
8547,control
7998,treatment
7748,control
10884,control
14085,control
3421,treatment
9293,control
6122,treatment
7378,control
3206,treatment
5475,control
7351,treatment
10035,control
8476,treatment
7112,treatment
4360,control
3207,control
5559,treatment
6881,control
6722,treatment
3417,treatment
2415,treatment
13850,treatment
1414,control
3655,treatment
8527,treatment
1059,treatment
2214,treatment
5353,treatment
14849,treatment
13380,control
12795,control
7240,treatment
4758,treatment
5127,treatment
6408,control
9477,treatment
5605,treatment
11093,treatment
13904,control
5293,control
13670,control
7606,treatment
11774,treatment
5538,control
11976,control
14403,control
1762,treatment
13537,treatment
13191,control
9498,treatment
1587,control
13035,treatment
8716,treatment
913,treatment
2371,treatment
9867,treatment
13257,treatment
11710,control
8993,treatment
14673,control
14988,treatment
3389,control
13562,control
10454,treatment
14495,control
4601,control
7475,control
4943,treatment
3567,treatment
10647,treatment
3486,control
8514,control
11236,control
8109,control
189,control
2901,control
2026,control
5099,control
12111,treatment
4179,treatment
6079,treatment
9882,control
3333,treatment
10950,control
9767,treatment
2493,control
6514,treatment
14912,control
583,control
2689,control
7597,control
9302,treatment
12779,control
7689,treatment
18,control
1460,control
11671,control
7646,treatment
4444,treatment
11473,treatment
7831,treatment
14080,treatment
10042,control
14610,control
1786,control
1656,control
1972,control
11439,control
8920,control
1474,treatment
389,control
11292,control
12,treatment
12356,treatment
13311,control
2623,control
6278,control
4448,control
6342,treatment
4033,treatment
5472,treatment
9073,control
8126,treatment
1526,treatment
4322,treatment
7563,control
13209,treatment
860,treatment
4527,control
3644,control
35,control
825,treatment
9726,control
10643,control
13206,control
10697,treatment
5749,control
14928,control
2125,control
10011,treatment
4827,control
3766,treatment
8388,control
6046,control
13431,treatment
2349,control
2198,treatment
10929,treatment
669,control
11525,treatment
3930,treatment
7736,control
13679,treatment
495,treatment
7769,control
5771,control
13095,treatment
2289,control
1428,control
14111,control
10275,treatment
6546,control
6643,treatment
6220,treatment
4252,treatment
4112,control
2401,control
8541,control
5384,treatment
9382,control
14803,treatment
2064,treatment
9969,treatment
2875,control
7176,treatment
7021,treatment
14949,control
13957,control
5173,treatment
8104,treatment
14826,treatment
1146,control
3795,control
8945,control
3858,control
7161,treatment
10450,treatment
13013,control
781,treatment
4062,treatment
6973,treatment
11458,control
12859,treatment
10444,control
3044,control
1326,treatment
1465,treatment
5133,treatment
6691,control
13334,treatment
876,control
8378,treatment
11417,control
3883,treatment
1223,control
1991,treatment
2920,control
5967,treatment
9823,control
14828,treatment
9862,control
5019,treatment
4768,control
11546,treatment
6576,treatment
1035,control
13046,treatment
10588,treatment
2581,treatment
1562,treatment
13110,control
13041,control
8946,treatment
4442,control
7032,treatment
9564,treatment
964,treatment
8562,treatment
4929,treatment
8379,treatment
10391,control
3173,treatment
7701,control
5611,control
6101,treatment
63,treatment
2417,treatment
4701,treatment
9586,control
14621,treatment
7823,control
1154,control
10138,control
9226,treatment
13403,control
7248,control
2952,treatment
2620,control
9443,treatment
7705,treatment
8885,treatment
2877,control
14321,control
8114,treatment
10350,control
11083,control
11621,control
2804,treatment
7779,treatment
1684,control
7181,treatment
2981,control
4509,control
11868,treatment
7855,control
4593,treatment
7156,treatment
13905,control
13394,control
8650,control
3441,treatment
12625,control
8637,treatment
1385,treatment
6428,control
5312,treatment
5711,treatment
3394,control
7419,treatment
9719,control
13545,control
351,treatment
7363,treatment
10351,treatment
12033,treatment
12600,treatment
5823,treatment
10828,control
9622,treatment
14519,control
1095,treatment
11073,treatment
11509,treatment
512,control
9651,treatment
1764,treatment
5873,control
2024,treatment
9192,treatment
7814,treatment
10854,treatment
11162,control
4713,treatment
5370,control
1040,control
9018,treatment
8664,treatment
7640,treatment
8495,control
4059,control
12256,treatment
2120,control
3726,treatment
8397,treatment
10053,treatment
697,control
13732,treatment
8167,control
10191,control
13621,control
7397,treatment
6564,treatment
8111,treatment
1396,control
8100,control
555,control
13119,control
14883,control
12388,control
9303,treatment
3504,control
14688,control
9229,treatment
3064,control
2735,treatment
8952,control
8243,control
13418,treatment
10729,control
2318,control
13020,control
8250,control
4962,treatment
6180,control
5268,control
2089,control
13120,treatment
5658,control
8401,control
6103,treatment
14042,control
11643,treatment
11135,treatment
2860,control
5013,control
2685,control
4686,control
14072,treatment
169,control
12327,treatment
10006,control
14917,control
1364,treatment
4849,control
1409,control
1398,treatment
2110,control
4660,control
7355,treatment
10932,control
1533,treatment
5098,treatment
4805,treatment
1670,control
13149,control
11744,control
10281,treatment
1196,control
9740,treatment
12210,control
9939,control
3701,treatment
6609,control
11241,treatment
2766,treatment
1394,control
13464,control
5025,treatment
4569,treatment
1531,control
7626,control
12884,treatment
7650,control
8646,control
8674,control
10158,control
7413,control
13541,treatment
3024,control
7911,treatment
1289,control
1282,control
9122,control
13783,control
3456,control
5438,control
4872,control
10060,control
533,control
11998,control
2343,control
10292,control
6465,treatment
11485,control
9284,treatment
14951,control
2178,control
12552,control
5501,control
8976,treatment
2246,control
398,treatment
6070,treatment
