user_id,gender,age,region
146,М,31,Санкт-Петербург
147,Ж,39,Санкт-Петербург
148,М,43,Санкт-Петербург
149,М,43,Краснодарский край
150,М,31,Нижегородская область
151,М,28,Краснодарский край
152,Ж,30,Краснодарский край
153,М,39,Иркутская область
154,Ж,38,Иркутская область
155,М,37,Краснодарский край
156,М,39,Краснодарский край
157,М,34,Краснодарский край
158,М,43,Санкт-Петербург
159,М,34,Оренбургская область
160,М,34,Иркутская область
161,Ж,35,Краснодарский край
162,Ж,33,Краснодарский край
163,М,32,Санкт-Петербург
164,М,33,Краснодарский край
165,Ж,33,Астраханская область
166,М,33,Краснодарский край
167,Ж,33,Краснодарский край
168,Ж,30,Санкт-Петербург
169,М,28,Нижегородская область
170,М,41,Санкт-Петербург
171,М,30,Краснодарский край
172,Ж,44,Оренбургская область
173,Ж,39,Краснодарский край
174,М,34,Нижегородская область
175,М,38,Санкт-Петербург
176,Ж,40,Санкт-Петербург
177,Ж,23,Краснодарский край
178,Ж,35,Краснодарский край
179,М,40,Оренбургская область
180,М,32,Нижегородская область
181,Ж,24,Санкт-Петербург
182,Ж,40,Астраханская область
183,Ж,36,Нижегородская область
184,Ж,39,Краснодарский край
185,М,34,Оренбургская область
186,М,31,Нижегородская область
187,Ж,42,Нижегородская область
188,М,32,Краснодарский край
189,Ж,35,Краснодарский край
190,М,31,Краснодарский край
191,Ж,32,Санкт-Петербург
192,Ж,31,Краснодарский край
193,М,26,Республика Адыгея
194,М,38,Краснодарский край
195,Ж,25,Краснодарский край
196,М,28,Санкт-Петербург
197,Ж,35,Астраханская область
198,Ж,35,Санкт-Петербург
199,Ж,28,Иркутская область
200,М,29,Иркутская область
201,М,37,Краснодарский край
202,М,35,Санкт-Петербург
203,М,32,Нижегородская область
204,Ж,32,Астраханская область
205,Ж,31,Иркутская область
206,Ж,40,Санкт-Петербург
207,М,31,Оренбургская область
208,М,35,Санкт-Петербург
209,М,35,Краснодарский край
210,Ж,40,Оренбургская область
211,Ж,35,Оренбургская область
212,М,31,Нижегородская область
213,Ж,33,Санкт-Петербург
214,М,34,Санкт-Петербург
215,Ж,40,Иркутская область
216,Ж,31,Краснодарский край
217,М,44,Нижегородская область
218,М,34,Оренбургская область
219,Ж,35,Краснодарский край
220,Ж,36,Иркутская область
221,Ж,28,Санкт-Петербург
222,М,32,Иркутская область
223,Ж,37,Краснодарский край
224,М,33,Астраханская область
225,Ж,34,Краснодарский край
226,Ж,40,Санкт-Петербург
227,М,41,Краснодарский край
228,Ж,31,Нижегородская область
229,М,28,Астраханская область
230,Ж,32,Нижегородская область
231,М,37,Краснодарский край
232,Ж,39,Санкт-Петербург
233,М,30,Оренбургская область
234,Ж,40,Иркутская область
235,М,34,Краснодарский край
236,М,35,Нижегородская область
237,М,34,Краснодарский край
238,М,42,Краснодарский край
239,М,39,Краснодарский край
240,Ж,33,Иркутская область
241,М,42,Нижегородская область
242,Ж,27,Нижегородская область
243,Ж,30,Нижегородская область
244,Ж,33,Краснодарский край
245,М,38,Санкт-Петербург
246,М,32,Краснодарский край
247,Ж,35,Астраханская область
248,М,34,Краснодарский край
249,Ж,30,Нижегородская область
250,М,41,Нижегородская область
251,М,36,Краснодарский край
252,Ж,37,Оренбургская область
253,М,29,Оренбургская область
254,Ж,40,Оренбургская область
255,М,34,Оренбургская область
256,Ж,46,Санкт-Петербург
257,Ж,27,Иркутская область
258,Ж,40,Астраханская область
259,М,35,Санкт-Петербург
260,Ж,38,Оренбургская область
261,Ж,38,Санкт-Петербург
262,Ж,30,Иркутская область
263,М,38,Краснодарский край
264,Ж,33,Иркутская область
265,М,31,Иркутская область
266,М,45,Иркутская область
267,Ж,37,Санкт-Петербург
268,Ж,28,Астраханская область
269,М,35,Краснодарский край
270,Ж,44,Санкт-Петербург
271,Ж,37,Нижегородская область
272,Ж,44,Оренбургская область
273,М,30,Иркутская область
274,М,43,Иркутская область
275,М,34,Краснодарский край
276,М,38,Краснодарский край
277,Ж,33,Оренбургская область
278,Ж,31,Астраханская область
279,М,24,Санкт-Петербург
280,Ж,33,Нижегородская область
281,Ж,36,Нижегородская область
282,Ж,29,Краснодарский край
283,Ж,39,Нижегородская область
284,М,33,Нижегородская область
285,Ж,26,Санкт-Петербург
286,Ж,31,Санкт-Петербург
287,М,32,Краснодарский край
288,М,38,Санкт-Петербург
289,Ж,33,Санкт-Петербург
290,М,35,Санкт-Петербург
291,М,35,Санкт-Петербург
292,М,26,Оренбургская область
293,Ж,28,Иркутская область
294,Ж,37,Краснодарский край
295,Ж,37,Санкт-Петербург
296,Ж,30,Оренбургская область
297,Ж,27,Оренбургская область
298,Ж,32,Иркутская область
299,М,28,Краснодарский край
300,М,31,Краснодарский край
301,М,36,Нижегородская область
302,М,34,Нижегородская область
303,Ж,34,Санкт-Петербург
304,Ж,35,Краснодарский край
305,М,47,Санкт-Петербург
306,Ж,30,Краснодарский край
307,М,40,Санкт-Петербург
308,Ж,30,Краснодарский край
309,М,32,Иркутская область
310,Ж,40,Нижегородская область
311,Ж,32,Иркутская область
312,Ж,38,Нижегородская область
313,М,49,Оренбургская область
314,М,29,Санкт-Петербург
315,Ж,30,Краснодарский край
316,Ж,39,Санкт-Петербург
317,М,35,Санкт-Петербург
318,Ж,43,Санкт-Петербург
319,Ж,39,Санкт-Петербург
320,М,34,Оренбургская область
321,М,33,Астраханская область
322,Ж,32,Нижегородская область
323,М,23,Иркутская область
324,М,33,Санкт-Петербург
325,Ж,32,Иркутская область
326,М,39,Санкт-Петербург
327,М,25,Краснодарский край
328,Ж,35,Оренбургская область
329,М,30,Санкт-Петербург
330,Ж,39,Санкт-Петербург
331,М,33,Краснодарский край
332,Ж,33,Астраханская область
333,Ж,31,Санкт-Петербург
334,М,24,Оренбургская область
335,М,35,Оренбургская область
336,М,37,Иркутская область
337,М,33,Астраханская область
338,М,40,Краснодарский край
339,М,41,Санкт-Петербург
340,М,28,Санкт-Петербург
341,Ж,26,Нижегородская область
342,Ж,34,Нижегородская область
343,Ж,32,Краснодарский край
344,Ж,34,Санкт-Петербург
345,Ж,30,Нижегородская область
346,М,38,Нижегородская область
347,М,40,Краснодарский край
348,Ж,41,Краснодарский край
349,М,41,Краснодарский край
350,Ж,30,Краснодарский край
351,М,34,Нижегородская область
352,М,36,Краснодарский край
353,М,25,Санкт-Петербург
354,Ж,38,Краснодарский край
355,Ж,44,Астраханская область
356,Ж,31,Иркутская область
357,М,35,Санкт-Петербург
358,М,33,Краснодарский край
359,М,37,Оренбургская область
360,Ж,38,Краснодарский край
361,М,32,Астраханская область
362,М,30,Нижегородская область
363,Ж,32,Санкт-Петербург
364,М,30,Краснодарский край
365,Ж,31,Оренбургская область
366,М,37,Нижегородская область
367,М,34,Оренбургская область
368,Ж,34,Республика Адыгея
369,М,27,Санкт-Петербург
370,Ж,31,Оренбургская область
371,Ж,35,Иркутская область
372,Ж,34,Республика Адыгея
373,Ж,42,Санкт-Петербург
374,М,36,Санкт-Петербург
375,М,35,Оренбургская область
376,Ж,26,Краснодарский край
377,Ж,31,Оренбургская область
378,Ж,38,Нижегородская область
379,М,32,Краснодарский край
380,Ж,30,Иркутская область
381,Ж,29,Иркутская область
382,М,30,Краснодарский край
383,М,32,Санкт-Петербург
384,М,44,Краснодарский край
385,М,38,Нижегородская область
386,М,34,Санкт-Петербург
387,М,32,Нижегородская область
388,Ж,40,Санкт-Петербург
389,М,43,Краснодарский край
390,М,33,Иркутская область
391,М,37,Нижегородская область
392,М,37,Оренбургская область
393,М,30,Нижегородская область
394,Ж,41,Краснодарский край
395,М,28,Астраханская область
396,Ж,31,Оренбургская область
397,Ж,30,Оренбургская область
398,М,25,Краснодарский край
399,Ж,25,Республика Адыгея
400,М,31,Краснодарский край
401,Ж,31,Нижегородская область
402,Ж,32,Нижегородская область
403,М,29,Иркутская область
404,Ж,39,Краснодарский край
405,Ж,37,Иркутская область
406,Ж,35,Оренбургская область
407,М,35,Краснодарский край
408,М,38,Иркутская область
409,М,37,Санкт-Петербург
410,М,42,Краснодарский край
411,Ж,38,Санкт-Петербург
412,М,36,Краснодарский край
413,М,34,Санкт-Петербург
414,М,27,Оренбургская область
415,Ж,39,Санкт-Петербург
416,Ж,44,Санкт-Петербург
417,М,36,Астраханская область
418,М,39,Иркутская область
419,М,37,Краснодарский край
420,Ж,30,Краснодарский край
421,Ж,37,Санкт-Петербург
422,Ж,36,Санкт-Петербург
423,М,34,Иркутская область
424,Ж,29,Краснодарский край
425,М,34,Астраханская область
426,Ж,24,Иркутская область
427,Ж,36,Иркутская область
428,М,30,Краснодарский край
429,М,22,Нижегородская область
430,Ж,32,Нижегородская область
431,М,34,Оренбургская область
432,М,34,Санкт-Петербург
433,Ж,38,Краснодарский край
434,М,39,Санкт-Петербург
435,Ж,40,Астраханская область
436,Ж,33,Оренбургская область
437,Ж,32,Краснодарский край
438,Ж,41,Краснодарский край
439,Ж,28,Оренбургская область
440,Ж,34,Санкт-Петербург
441,М,34,Санкт-Петербург
442,Ж,30,Иркутская область
443,М,30,Санкт-Петербург
444,М,31,Краснодарский край
445,Ж,38,Санкт-Петербург
446,М,33,Краснодарский край
447,Ж,35,Санкт-Петербург
448,М,42,Иркутская область
449,М,37,Краснодарский край
450,Ж,38,Республика Адыгея
451,М,34,Краснодарский край
452,Ж,29,Нижегородская область
453,Ж,27,Нижегородская область
454,М,29,Краснодарский край
455,Ж,33,Краснодарский край
456,Ж,33,Санкт-Петербург
457,Ж,38,Краснодарский край
458,М,31,Иркутская область
459,Ж,34,Краснодарский край
460,М,33,Краснодарский край
461,М,38,Краснодарский край
462,Ж,26,Астраханская область
463,М,34,Нижегородская область
464,Ж,28,Краснодарский край
465,Ж,24,Санкт-Петербург
466,М,38,Санкт-Петербург
467,М,38,Астраханская область
468,М,37,Краснодарский край
469,М,38,Краснодарский край
470,Ж,38,Краснодарский край
471,Ж,34,Краснодарский край
472,Ж,34,Санкт-Петербург
473,Ж,37,Краснодарский край
474,Ж,37,Астраханская область
475,Ж,34,Иркутская область
476,Ж,29,Краснодарский край
477,Ж,34,Нижегородская область
478,Ж,30,Оренбургская область
479,М,30,Санкт-Петербург
480,Ж,36,Краснодарский край
481,Ж,40,Краснодарский край
482,Ж,28,Нижегородская область
483,М,36,Краснодарский край
484,М,36,Краснодарский край
485,М,34,Оренбургская область
486,М,31,Краснодарский край
487,Ж,37,Краснодарский край
488,М,36,Краснодарский край
489,М,41,Иркутская область
490,Ж,41,Краснодарский край
491,Ж,39,Санкт-Петербург
492,Ж,32,Оренбургская область
493,Ж,37,Нижегородская область
494,Ж,34,Краснодарский край
495,Ж,38,Нижегородская область
496,М,36,Краснодарский край
497,Ж,34,Краснодарский край
498,Ж,37,Астраханская область
499,Ж,37,Оренбургская область
500,М,32,Оренбургская область
501,Ж,43,Санкт-Петербург
502,Ж,37,Республика Адыгея
503,М,31,Иркутская область
504,М,37,Нижегородская область
505,Ж,27,Санкт-Петербург
506,М,38,Иркутская область
507,М,29,Оренбургская область
508,Ж,22,Санкт-Петербург
509,Ж,31,Краснодарский край
510,Ж,35,Иркутская область
511,М,27,Оренбургская область
512,Ж,32,Краснодарский край
513,М,36,Краснодарский край
514,М,34,Иркутская область
515,Ж,38,Нижегородская область
516,М,37,Оренбургская область
517,Ж,36,Санкт-Петербург
518,Ж,31,Краснодарский край
519,Ж,26,Краснодарский край
520,Ж,36,Иркутская область
521,М,36,Санкт-Петербург
522,Ж,38,Нижегородская область
523,Ж,48,Нижегородская область
524,М,38,Санкт-Петербург
525,Ж,46,Краснодарский край
526,М,50,Санкт-Петербург
527,М,33,Краснодарский край
528,Ж,30,Астраханская область
529,М,37,Нижегородская область
530,М,32,Санкт-Петербург
531,М,32,Иркутская область
532,Ж,35,Санкт-Петербург
533,Ж,23,Краснодарский край
534,М,33,Оренбургская область
535,Ж,37,Краснодарский край
536,М,36,Оренбургская область
537,Ж,32,Республика Адыгея
538,М,36,Краснодарский край
539,М,32,Нижегородская область
540,Ж,29,Санкт-Петербург
541,М,31,Краснодарский край
542,Ж,28,Краснодарский край
543,Ж,33,Санкт-Петербург
544,Ж,31,Санкт-Петербург
545,М,40,Санкт-Петербург
546,М,32,Республика Адыгея
547,М,41,Иркутская область
548,М,38,Санкт-Петербург
549,М,35,Оренбургская область
550,М,42,Нижегородская область
551,М,40,Краснодарский край
552,М,32,Иркутская область
553,М,34,Краснодарский край
554,М,32,Иркутская область
555,М,39,Санкт-Петербург
556,Ж,29,Астраханская область
557,Ж,31,Оренбургская область
558,М,33,Санкт-Петербург
559,Ж,40,Санкт-Петербург
560,Ж,34,Нижегородская область
561,Ж,31,Оренбургская область
562,М,29,Краснодарский край
563,Ж,35,Иркутская область
564,Ж,43,Иркутская область
565,М,41,Санкт-Петербург
566,М,44,Нижегородская область
567,М,33,Краснодарский край
568,М,30,Санкт-Петербург
569,Ж,34,Иркутская область
570,М,35,Санкт-Петербург
571,Ж,33,Краснодарский край
572,М,39,Краснодарский край
573,Ж,30,Санкт-Петербург
574,М,36,Иркутская область
575,М,38,Краснодарский край
576,М,27,Краснодарский край
577,М,38,Краснодарский край
578,М,29,Краснодарский край
579,Ж,36,Астраханская область
580,М,36,Санкт-Петербург
581,М,30,Нижегородская область
582,Ж,40,Астраханская область
583,М,31,Иркутская область
584,Ж,41,Иркутская область
585,Ж,34,Санкт-Петербург
586,М,45,Санкт-Петербург
587,Ж,37,Санкт-Петербург
588,М,24,Краснодарский край
589,М,37,Краснодарский край
590,Ж,49,Иркутская область
591,М,30,Оренбургская область
592,Ж,39,Краснодарский край
593,Ж,37,Иркутская область
594,М,24,Иркутская область
595,Ж,42,Краснодарский край
596,М,32,Иркутская область
597,М,34,Оренбургская область
598,М,36,Санкт-Петербург
599,М,36,Нижегородская область
600,М,24,Оренбургская область
601,М,41,Иркутская область
602,Ж,38,Санкт-Петербург
603,Ж,43,Санкт-Петербург
604,М,30,Краснодарский край
605,М,39,Краснодарский край
606,Ж,41,Нижегородская область
607,Ж,25,Санкт-Петербург
608,Ж,39,Санкт-Петербург
609,Ж,30,Санкт-Петербург
610,Ж,38,Астраханская область
611,М,37,Астраханская область
612,Ж,50,Санкт-Петербург
613,Ж,41,Краснодарский край
614,Ж,37,Иркутская область
615,Ж,28,Оренбургская область
616,Ж,32,Краснодарский край
617,М,40,Нижегородская область
618,М,35,Санкт-Петербург
619,М,32,Иркутская область
620,М,36,Астраханская область
621,М,32,Краснодарский край
622,М,42,Нижегородская область
623,Ж,38,Иркутская область
624,Ж,37,Санкт-Петербург
625,М,36,Краснодарский край
626,Ж,27,Краснодарский край
627,Ж,40,Оренбургская область
628,М,31,Санкт-Петербург
629,М,32,Санкт-Петербург
630,Ж,39,Краснодарский край
631,Ж,40,Краснодарский край
632,М,41,Краснодарский край
633,М,35,Иркутская область
634,Ж,31,Иркутская область
635,М,38,Санкт-Петербург
636,Ж,40,Краснодарский край
637,Ж,33,Санкт-Петербург
638,М,38,Санкт-Петербург
639,М,34,Санкт-Петербург
640,Ж,41,Оренбургская область
641,Ж,38,Санкт-Петербург
642,М,34,Санкт-Петербург
643,М,22,Краснодарский край
644,М,29,Краснодарский край
645,М,41,Санкт-Петербург
646,Ж,33,Санкт-Петербург
647,М,29,Краснодарский край
648,М,36,Иркутская область
649,Ж,28,Краснодарский край
650,Ж,35,Оренбургская область
651,М,51,Краснодарский край
652,М,34,Оренбургская область
653,Ж,42,Нижегородская область
654,Ж,36,Санкт-Петербург
655,Ж,33,Санкт-Петербург
656,Ж,27,Оренбургская область
657,М,26,Санкт-Петербург
658,Ж,30,Санкт-Петербург
659,М,39,Нижегородская область
660,Ж,40,Санкт-Петербург
661,Ж,33,Нижегородская область
662,Ж,30,Оренбургская область
663,М,24,Астраханская область
664,Ж,38,Нижегородская область
665,Ж,37,Санкт-Петербург
666,М,39,Краснодарский край
667,М,32,Краснодарский край
668,Ж,34,Нижегородская область
669,М,38,Астраханская область
670,М,37,Краснодарский край
671,Ж,33,Республика Адыгея
672,Ж,37,Краснодарский край
673,Ж,40,Санкт-Петербург
674,Ж,47,Краснодарский край
675,М,32,Санкт-Петербург
676,М,33,Санкт-Петербург
677,Ж,38,Нижегородская область
678,М,31,Иркутская область
679,Ж,33,Иркутская область
680,Ж,39,Краснодарский край
681,М,39,Санкт-Петербург
682,М,26,Санкт-Петербург
683,М,30,Астраханская область
684,Ж,34,Санкт-Петербург
685,Ж,38,Иркутская область
686,Ж,28,Краснодарский край
687,Ж,31,Краснодарский край
688,М,34,Республика Адыгея
689,М,37,Оренбургская область
690,М,38,Иркутская область
691,Ж,41,Нижегородская область
692,Ж,32,Оренбургская область
693,М,33,Нижегородская область
694,Ж,42,Астраханская область
695,Ж,35,Санкт-Петербург
696,М,24,Оренбургская область
697,Ж,31,Нижегородская область
698,Ж,33,Республика Адыгея
699,Ж,34,Краснодарский край
700,М,33,Краснодарский край
701,М,42,Иркутская область
702,М,28,Краснодарский край
703,М,24,Нижегородская область
704,М,37,Нижегородская область
705,М,26,Санкт-Петербург
706,Ж,29,Краснодарский край
707,Ж,28,Санкт-Петербург
708,Ж,24,Санкт-Петербург
709,М,34,Оренбургская область
710,Ж,30,Краснодарский край
711,Ж,28,Иркутская область
712,Ж,37,Санкт-Петербург
713,Ж,36,Республика Адыгея
714,Ж,32,Республика Адыгея
715,М,32,Санкт-Петербург
716,М,38,Санкт-Петербург
717,Ж,34,Иркутская область
718,Ж,41,Нижегородская область
719,Ж,33,Краснодарский край
720,М,36,Астраханская область
721,М,30,Нижегородская область
722,М,35,Иркутская область
723,М,38,Краснодарский край
724,М,25,Санкт-Петербург
725,М,31,Краснодарский край
726,Ж,35,Нижегородская область
727,М,33,Краснодарский край
728,М,28,Санкт-Петербург
729,Ж,45,Краснодарский край
730,Ж,30,Санкт-Петербург
731,М,37,Оренбургская область
732,Ж,42,Оренбургская область
733,Ж,37,Иркутская область
734,Ж,34,Санкт-Петербург
735,Ж,26,Краснодарский край
736,М,42,Нижегородская область
737,М,37,Санкт-Петербург
738,М,34,Иркутская область
739,М,33,Иркутская область
740,Ж,28,Нижегородская область
741,М,24,Иркутская область
742,Ж,40,Иркутская область
743,М,33,Краснодарский край
744,М,36,Санкт-Петербург
745,М,32,Краснодарский край
746,Ж,27,Краснодарский край
747,М,32,Краснодарский край
748,М,32,Нижегородская область
749,М,34,Санкт-Петербург
750,М,40,Нижегородская область
751,М,29,Астраханская область
752,Ж,34,Иркутская область
753,М,31,Иркутская область
754,М,32,Оренбургская область
755,М,31,Санкт-Петербург
756,Ж,36,Оренбургская область
757,М,29,Краснодарский край
758,М,33,Астраханская область
759,Ж,33,Краснодарский край
760,Ж,29,Краснодарский край
761,М,45,Краснодарский край
762,М,30,Санкт-Петербург
763,Ж,31,Иркутская область
764,Ж,27,Санкт-Петербург
765,М,43,Оренбургская область
766,Ж,32,Краснодарский край
767,Ж,32,Краснодарский край
768,Ж,43,Краснодарский край
769,М,35,Иркутская область
770,М,31,Краснодарский край
771,Ж,36,Краснодарский край
772,Ж,30,Краснодарский край
773,Ж,34,Иркутская область
774,М,37,Краснодарский край
775,М,28,Санкт-Петербург
776,Ж,40,Санкт-Петербург
777,Ж,41,Краснодарский край
778,Ж,35,Нижегородская область
779,Ж,29,Иркутская область
780,М,44,Иркутская область
781,М,34,Оренбургская область
782,Ж,43,Краснодарский край
783,Ж,31,Краснодарский край
784,М,30,Краснодарский край
785,М,34,Краснодарский край
786,Ж,34,Краснодарский край
787,М,35,Оренбургская область
788,М,35,Нижегородская область
789,Ж,26,Краснодарский край
790,Ж,42,Краснодарский край
791,М,32,Нижегородская область
792,Ж,39,Иркутская область
793,М,30,Нижегородская область
794,М,30,Иркутская область
795,М,30,Нижегородская область
796,Ж,43,Краснодарский край
797,Ж,29,Санкт-Петербург
798,М,39,Санкт-Петербург
799,Ж,40,Иркутская область
800,М,38,Краснодарский край
801,Ж,37,Иркутская область
802,М,32,Нижегородская область
803,Ж,30,Оренбургская область
804,М,34,Краснодарский край
805,М,36,Иркутская область
806,Ж,32,Иркутская область
807,Ж,33,Республика Адыгея
808,М,30,Краснодарский край
809,М,33,Краснодарский край
810,Ж,29,Санкт-Петербург
811,М,35,Нижегородская область
812,Ж,31,Краснодарский край
813,М,36,Нижегородская область
814,М,25,Санкт-Петербург
815,М,32,Краснодарский край
816,Ж,39,Санкт-Петербург
817,Ж,27,Оренбургская область
818,М,27,Астраханская область
819,Ж,36,Санкт-Петербург
820,Ж,33,Санкт-Петербург
821,М,38,Иркутская область
822,Ж,33,Иркутская область
823,Ж,34,Санкт-Петербург
824,М,28,Санкт-Петербург
825,Ж,31,Краснодарский край
826,Ж,38,Астраханская область
827,М,33,Краснодарский край
828,Ж,36,Краснодарский край
829,Ж,31,Санкт-Петербург
830,М,38,Краснодарский край
831,М,37,Иркутская область
832,Ж,34,Краснодарский край
833,М,25,Оренбургская область
834,Ж,44,Астраханская область
835,М,33,Краснодарский край
836,М,32,Оренбургская область
837,Ж,29,Нижегородская область
838,М,35,Нижегородская область
839,М,40,Санкт-Петербург
840,Ж,21,Краснодарский край
841,М,35,Нижегородская область
842,Ж,41,Санкт-Петербург
843,Ж,43,Санкт-Петербург
844,Ж,28,Иркутская область
845,Ж,40,Нижегородская область
846,Ж,30,Нижегородская область
847,М,37,Нижегородская область
848,М,41,Иркутская область
849,М,31,Краснодарский край
850,М,32,Иркутская область
851,М,30,Иркутская область
852,М,31,Санкт-Петербург
853,М,23,Оренбургская область
854,Ж,37,Республика Адыгея
855,Ж,31,Краснодарский край
856,М,39,Краснодарский край
857,М,43,Нижегородская область
858,Ж,32,Оренбургская область
859,М,36,Оренбургская область
860,М,31,Иркутская область
861,Ж,36,Краснодарский край
862,Ж,34,Астраханская область
863,Ж,37,Краснодарский край
864,Ж,40,Санкт-Петербург
865,Ж,28,Иркутская область
866,М,36,Краснодарский край
867,М,28,Краснодарский край
868,Ж,34,Санкт-Петербург
869,М,39,Санкт-Петербург
870,Ж,40,Иркутская область
871,М,28,Краснодарский край
872,М,40,Краснодарский край
873,М,30,Иркутская область
874,Ж,30,Нижегородская область
875,Ж,30,Иркутская область
876,Ж,38,Астраханская область
877,М,32,Иркутская область
878,М,38,Астраханская область
879,М,37,Санкт-Петербург
880,Ж,41,Иркутская область
881,Ж,33,Нижегородская область
882,Ж,37,Астраханская область
883,Ж,40,Оренбургская область
884,М,38,Краснодарский край
885,М,31,Санкт-Петербург
886,М,35,Краснодарский край
887,М,29,Санкт-Петербург
888,М,36,Иркутская область
889,Ж,39,Санкт-Петербург
890,Ж,45,Санкт-Петербург
891,Ж,41,Санкт-Петербург
892,М,28,Краснодарский край
893,Ж,38,Краснодарский край
894,Ж,39,Иркутская область
895,М,36,Краснодарский край
896,М,33,Санкт-Петербург
897,М,28,Санкт-Петербург
898,М,36,Краснодарский край
899,М,36,Нижегородская область
900,Ж,35,Астраханская область
901,Ж,45,Оренбургская область
902,Ж,40,Нижегородская область
903,М,28,Иркутская область
904,Ж,36,Санкт-Петербург
905,М,31,Оренбургская область
906,Ж,39,Нижегородская область
907,М,32,Санкт-Петербург
908,Ж,33,Оренбургская область
909,М,25,Краснодарский край
910,М,34,Краснодарский край
911,Ж,35,Нижегородская область
912,Ж,32,Нижегородская область
913,М,35,Краснодарский край
914,М,44,Краснодарский край
